era,book_id,chap_num,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
high gothic,696,5,2.750275081462052e-05,2.750275086061217e-05,2.7502750765869014e-05,2.7502750532458596e-05,2.7502750945280038e-05,2.7502750866430073e-05,2.7502750807694728e-05,2.7502750881143754e-05,2.750275027504814e-05,2.7502750654118073e-05,2.750275078443244e-05,2.7502750900041045e-05,2.750275081540383e-05,2.7502750888617095e-05,2.750275027504814e-05,0.6842260355978124,0.013364693370592984,0.3019417242689329,2.7502750810065028e-05,2.7502750784958318e-05
high gothic,3268,1,1.9076688561027194e-05,1.9076688754706018e-05,1.9076688713231473e-05,1.9076688493631215e-05,1.907668866817815e-05,1.907668872815292e-05,1.9076688664035172e-05,1.9076688625081215e-05,1.907668828692538e-05,1.9076688542031508e-05,1.907668866351583e-05,0.7951416355383598,1.9076688677823778e-05,1.9076688678185224e-05,1.907668828692538e-05,1.9076688750537413e-05,1.907668873723201e-05,1.9076688736867466e-05,0.20451498406644641,1.907668862565779e-05
high gothic,3268,2,4.72143538594145e-05,4.7214354071361246e-05,4.721435375206954e-05,4.721435351673514e-05,4.7214353921457766e-05,4.7214353923733486e-05,4.7214353755013535e-05,4.721435382224915e-05,4.7214353163375e-05,4.7214353812452195e-05,4.721435374054915e-05,4.721435425514422e-05,4.7214353804156815e-05,4.7214353910845324e-05,4.7214353163375e-05,4.721435404582717e-05,4.7214353800869846e-05,4.721435396969449e-05,0.9991029272778116,4.72143539002707e-05
high gothic,3268,3,4.30292608008618e-05,4.30292609685372e-05,4.30292609138804e-05,4.302926034080337e-05,4.302926081724362e-05,0.0777171914053911,4.3029260683764753e-05,4.3029260738901665e-05,4.302925989675906e-05,4.302926058746447e-05,4.302926100933569e-05,0.8448667657183216,4.302926084595547e-05,4.302926084942131e-05,4.302925989675906e-05,0.07668454544480963,4.302926095877578e-05,4.302926080791139e-05,4.302926072137217e-05,4.3029260639894444e-05
high gothic,3268,4,2.4654833118816005e-05,0.133063005786424,0.008625389586302452,2.465483264563628e-05,0.004179304155220004,0.06997870927346969,2.4654832842374318e-05,2.4654832897344737e-05,2.4654832347161682e-05,2.4654832804672932e-05,2.4654832868720925e-05,0.7220723855086729,2.4654832890906507e-05,2.4654832937258464e-05,2.4654832347161682e-05,2.4654832890212594e-05,2.465483299435927e-05,0.06173603803074812,2.4654832846501787e-05,2.4654832731749162e-05
high gothic,3268,5,4.699248208226322e-05,0.16952781970436742,4.6992482195527485e-05,4.699248165566239e-05,4.6992482200326137e-05,0.05735411574629426,4.6992482007784834e-05,4.699248231204058e-05,4.6992481203044276e-05,4.6992481956116936e-05,4.69924821673082e-05,0.7178437682834764,4.69924820764858e-05,4.6992482439915e-05,4.6992481203044276e-05,4.699248223235874e-05,0.054522416553552944,4.69924824219475e-05,4.6992482301885536e-05,4.699248185330248e-05
high gothic,3268,6,1.774308052214673e-05,1.7743080645409055e-05,1.7743080555400976e-05,1.7743080411583434e-05,1.774308060797222e-05,1.7743080587102017e-05,1.7743080587217644e-05,1.7743080580562828e-05,1.7743080198732986e-05,1.7743080472668923e-05,1.774308056016074e-05,0.8421364755683077,1.7743080534448365e-05,1.7743080617079496e-05,1.7743080198732986e-05,0.15754414898230826,1.7743080574010022e-05,1.7743080628568715e-05,1.7743080543614976e-05,1.7743080558488983e-05
high gothic,3268,7,3.5385704967655704e-05,0.259603770023211,3.5385704806224574e-05,3.53857046301582e-05,3.538570508395893e-05,3.538570486715504e-05,3.538570480696192e-05,3.538570499283795e-05,3.5385704175535476e-05,3.538570479673973e-05,3.538570487368186e-05,0.5505234029365755,3.5385704930140113e-05,3.538570501951229e-05,3.5385704175535476e-05,3.538570506885166e-05,3.538570499839572e-05,0.1892712700582118,3.538570492128577e-05,3.538570488685202e-05
high gothic,3268,8,1.9409938394453875e-05,0.1685092364136336,1.9409938286475866e-05,1.9409938120031425e-05,1.9409938331164477e-05,1.9409938340816577e-05,1.940993830501505e-05,1.9409938323283978e-05,1.9409937888212084e-05,1.9409938202029165e-05,1.940993831704293e-05,0.6415242230573571,1.9409938264979464e-05,0.021653819319744673,1.9409937888212084e-05,0.08064364177937286,1.940993831163123e-05,0.0873779303563159,1.9409938311769053e-05,1.9409938290612097e-05
high gothic,3268,9,8.305647978542425e-05,0.41604463609179065,8.305647989097395e-05,8.305647916734671e-05,8.305647986708899e-05,8.305647974015927e-05,8.305647989123789e-05,8.305647975359872e-05,8.305647840536216e-05,8.305647942267633e-05,8.305648006688459e-05,0.5824603472730886,8.305647999384037e-05,8.305648034684364e-05,8.305647840536216e-05,8.30564800277949e-05,8.305648023573011e-05,8.305648044091307e-05,8.305647997106186e-05,8.305647970854104e-05
